epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19 epQTL_20
Sim_76 aa ad dd da ad da ad dd da da dd da dd ad aa ad aa ad dd da
Sim_77 dd dd aa da ad ad dd aa da ad aa dd ad ad ad ad ad dd dd aa
Sim_78 da dd dd aa ad dd dd aa dd aa ad aa ad da ad ad dd da aa aa
Sim_79 ad ad da ad dd dd da da ad ad ad ad ad ad dd ad dd aa da da
Sim_80 ad aa dd da dd ad aa aa ad dd dd da ad dd ad da dd aa ad aa
Sim_81 dd ad ad da aa aa ad ad aa da ad dd dd ad dd ad da aa dd ad
Sim_82 aa aa da ad dd dd ad da dd aa ad dd da aa dd dd da ad da dd
Sim_83 da ad ad ad da dd ad da aa da ad aa ad da aa da dd ad dd ad
Sim_84 ad ad da aa dd ad dd ad aa aa ad ad da aa aa ad aa ad dd ad
Sim_85 aa ad dd dd aa da aa da da ad dd dd da aa ad da dd aa ad dd
Sim_86 aa da ad dd ad ad ad aa aa da dd aa dd da dd ad da da ad dd
Sim_87 dd ad dd ad ad da dd ad ad aa da aa aa aa ad dd dd dd aa aa
Sim_88 dd ad ad da da dd aa da da da dd dd da ad da dd dd ad aa da
Sim_89 aa dd ad aa aa dd dd aa dd dd ad da dd aa aa dd aa dd aa aa
Sim_90 dd aa aa dd da dd ad ad aa ad dd dd dd da dd aa aa aa da aa
Sim_91 da ad da da aa ad ad dd ad ad ad ad aa dd ad da ad aa da aa
Sim_92 ad ad aa ad dd da ad ad ad aa da dd da aa ad ad dd dd aa dd
Sim_93 dd ad da aa aa aa aa ad da ad da ad aa da ad ad ad ad dd aa
Sim_94 dd aa aa ad dd dd ad dd dd aa aa dd dd aa da da da da ad dd
Sim_95 dd aa aa dd da da ad da dd ad ad ad ad dd ad dd da ad aa ad
Sim_96 ad ad aa ad dd aa da dd da dd ad aa ad aa aa dd dd dd ad aa
Sim_97 aa aa dd dd dd ad da ad da aa dd da da dd ad da dd aa dd dd
Sim_98 aa da dd dd ad ad dd da ad aa aa da aa ad dd da aa ad ad ad
Sim_99 dd aa dd aa dd da dd ad aa aa dd da dd da dd dd dd aa ad dd
Sim_100 da dd aa da da da da dd aa dd dd ad da da dd aa dd ad da aa
