epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19
Sim_47 aa da aa da aa dd da dd da ad da ad ad dd dd ad dd ad ad
Sim_48 ad dd ad ad da dd da ad da da ad aa dd aa dd ad dd ad ad
Sim_49 da ad aa aa ad da aa da dd ad aa dd da da ad da da ad da
Sim_50 dd dd da aa dd ad dd ad da dd aa aa ad da ad dd da dd da
Sim_51 aa da ad ad da dd dd da aa aa da ad dd aa ad ad ad aa aa
Sim_52 dd dd dd dd da aa ad aa ad da aa ad dd ad aa aa aa ad dd
Sim_53 da ad ad dd dd aa da da da aa da dd dd dd dd dd dd ad aa
Sim_54 dd aa aa dd dd aa ad dd ad dd da dd ad ad dd aa dd ad dd
Sim_55 aa ad ad ad da ad da ad aa dd aa ad dd ad aa ad aa aa aa
Sim_56 dd aa dd da ad ad dd dd ad da aa dd aa dd ad dd aa dd da
Sim_57 ad aa aa ad da da ad dd ad dd da da dd aa da dd da dd ad
Sim_58 dd dd da dd da ad da dd da dd dd da aa da aa da da dd dd
Sim_59 dd ad ad aa ad dd aa dd da ad da dd aa ad aa dd da aa aa
Sim_60 aa dd da ad da dd aa aa da da da da dd dd aa aa dd aa ad
Sim_61 da ad dd aa dd da ad da ad da aa dd da dd aa dd dd dd da
Sim_62 dd dd dd dd aa da ad da ad da dd ad aa da dd ad dd ad da
Sim_63 dd da dd aa dd da ad da dd ad aa ad aa da ad ad dd dd da
Sim_64 da da ad ad aa aa ad dd dd da da dd da ad aa ad aa dd da
Sim_65 aa aa ad da dd aa aa aa aa ad dd ad da da aa aa da dd dd
Sim_66 dd da dd aa ad aa dd ad da dd ad aa ad da ad aa ad aa aa
Sim_67 aa aa dd ad da dd ad da aa ad ad dd ad da ad aa ad aa ad
Sim_68 dd da da ad da aa ad dd da aa aa ad dd ad da da da dd dd
Sim_69 dd da dd aa ad dd dd aa da aa ad dd ad ad aa aa aa aa dd
Sim_70 aa ad ad ad aa ad aa aa dd ad da dd aa aa dd da da ad da
Sim_71 aa da aa da da aa da da aa dd aa dd ad dd ad aa dd aa dd
Sim_72 da dd aa dd da aa aa ad aa ad ad da da da dd ad ad da aa
Sim_73 dd da dd da ad aa ad ad dd aa da da dd da aa ad dd ad da
Sim_74 dd aa ad dd aa aa aa ad da ad dd dd ad da ad dd ad ad aa
Sim_75 ad da da ad ad dd dd dd da da aa da ad dd da dd dd aa dd
Sim_76 aa dd aa dd dd da da aa ad ad ad da ad aa ad ad da ad aa
Sim_77 aa ad dd dd da ad aa ad dd aa ad ad da ad ad dd dd ad da
Sim_78 aa aa dd da da dd aa da dd aa aa da ad da aa dd dd da ad
Sim_79 aa dd ad ad aa aa da ad da ad dd aa aa dd dd da ad da aa
Sim_80 aa ad aa aa dd da da dd dd ad ad ad dd dd dd aa dd aa aa
Sim_81 dd da da aa dd dd dd da ad ad aa ad aa da dd ad dd aa da
Sim_82 aa aa dd da ad da aa dd ad dd ad aa dd da dd aa aa aa ad
Sim_83 ad ad da dd aa dd ad ad aa dd da ad ad da dd da da aa aa
Sim_84 ad aa dd dd ad aa aa aa dd ad ad da dd ad da ad da ad ad
Sim_85 aa da da aa ad dd da da ad da dd ad dd dd ad da dd ad ad
Sim_86 da dd aa dd dd da dd ad dd ad ad da da da aa aa ad ad ad
Sim_87 dd dd da da ad ad ad ad aa da dd da da da aa aa ad da ad
Sim_88 aa da dd dd aa ad ad aa da aa dd ad aa dd ad ad ad dd da
Sim_89 ad da ad ad dd dd dd dd aa ad da ad ad da da ad ad aa ad
Sim_90 aa da da aa da ad da ad da aa ad da da da da da dd ad dd
Sim_91 dd dd da ad ad aa ad dd aa aa ad ad da ad aa aa ad dd da
Sim_92 aa dd ad da dd da ad aa ad aa aa aa ad da da aa ad ad dd
Sim_93 ad da ad da da aa ad da aa dd ad da da aa dd aa dd dd aa
Sim_94 da aa aa ad ad ad ad ad ad ad dd ad da aa dd da ad ad aa
Sim_95 ad dd ad aa da dd da da da dd aa aa dd aa aa dd ad da ad
Sim_96 ad ad da da dd ad ad dd da da dd aa aa da ad aa ad da aa
Sim_97 ad aa dd ad aa ad ad aa ad dd da dd dd ad da dd aa aa aa
Sim_98 dd aa aa ad dd ad dd da dd ad ad ad dd ad da ad dd da ad
Sim_99 dd aa da da aa dd da ad ad dd dd da ad ad ad ad da da da
Sim_100 aa aa aa dd ad aa ad da dd dd aa aa da aa ad dd ad da ad
