hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5
Sim_19 Chr3B_797391819 0.0533397617313184 Chr6D_463254018 Chr7A_502743937 Chr4D_41204127 Chr6A_266145754 Chr4B_94912538
Sim_20 Chr1A_41197574 0.0495507134858802 Chr1B_220150231 Chr5B_594529312 Chr4B_447117654 Chr6B_177573737 Chr7A_684716465
Sim_21 Chr7A_172303589 0.0452292589912517 Chr5B_131694195 Chr5D_194314690 Chr6A_19984083 Chr6D_135341002 Chr3D_245675958
Sim_22 Chr4A_628820127 0.0462035644434187 Chr3D_74647885 Chr7D_66460903 Chr6D_80752977 Chr1A_361925129 Chr2B_14161507
Sim_23 Chr1B_576571525 0.0477169006419001 Chr2A_787004642 Chr5D_242943693 Chr4A_219639996 Chr7B_608358735 Chr3D_481088538
Sim_24 Chr7B_602609481 0.050205374700031 Chr3B_586194896 Chr1B_548924560 Chr7A_589701856 Chr6A_194616296 Chr5D_99920377
Sim_25 Chr5A_535802974 0.0475686402731462 Chr3D_504658214 Chr7B_465801337 Chr5D_99920377 Chr5B_76569283 Chr6D_91835326
Sim_26 Chr6B_480252721 0.0496163515487566 Chr1B_162359084 Chr5A_505261473 Chr7A_621800344 Chr4D_418434454 Chr2A_251371871
Sim_27 Chr1B_542962368 0.0464391098302979 Chr5D_330859521 Chr5A_471690670 Chr3B_491581961 Chr3D_251895462 Chr2B_44496375
Sim_28 Chr1A_231670853 0.0467248240359818 Chr2A_176099303 Chr3A_522606829 Chr7D_134764303 Chr4B_85575696 Chr5B_197265646
Sim_29 Chr3B_494186658 0.0503748079473255 Chr1A_503378284 Chr2D_414092150 Chr2B_796963259 Chr3A_741045862 Chr4A_732199650
Sim_30 Chr3A_223937348 0.045625663845663 Chr6D_210068304 Chr6A_583389686 Chr5B_664638244 Chr4A_694094566 Chr1B_619910091
Sim_31 Chr5B_533865168 0.0540883306660155 Chr4A_258212389 Chr5D_550674811 Chr1B_581834667 Chr6D_86192782 Chr7A_197037803
Sim_32 Chr7B_294878580 0.0543961921307828 Chr2A_633861543 Chr1A_511121553 Chr6D_240724895 Chr2D_488842769 Chr3D_245675958
Sim_33 Chr5B_463040636 0.0466621643552667 Chr2D_65092023 Chr7D_55789392 Chr3D_81788845 Chr5A_656486520 Chr2B_800071576
Sim_34 Chr6B_133580361 0.0487196600754609 Chr4B_342980491 Chr6D_494040701 Chr3B_141186508 Chr5A_547628379 Chr6A_599074125
Sim_35 Chr5A_689404135 0.0539449222926359 Chr2B_2767166 Chr2A_241065128 Chr5B_457938861 Chr3D_116149598 Chr3A_15999991
Sim_36 Chr6B_577220877 0.0474885884618578 Chr2B_170218711 Chr6D_426108673 Chr2A_737790689 Chr7B_255967881 Chr1A_478324785
Sim_37 Chr2B_729700863 0.0458579999708733 Chr7D_451953164 Chr2D_323023213 Chr4B_285456056 Chr6B_278221078 Chr3D_26071867
Sim_38 Chr5D_261873220 0.0451398450986173 Chr2A_583441256 Chr2D_371773669 Chr5B_491936201 Chr4D_505832194 Chr6A_587821755
Sim_39 Chr3A_21589523 0.045611538838891 Chr6A_554853686 Chr4A_402715349 Chr6D_342812657 Chr5D_556767883 Chr7D_318381055
Sim_40 Chr6B_84352729 0.054057915768068 Chr6A_17582658 Chr2B_430414784 Chr5B_197265646 Chr7A_485790489 Chr3B_149229495
Sim_41 Chr1B_49027494 0.0458012559901687 Chr3B_215407263 Chr4A_661144288 Chr7B_633799761 Chr1A_31271175 Chr7A_631794137
Sim_42 Chr3B_388480972 0.0528932617521855 Chr5D_553791688 Chr6B_52616908 Chr1D_197477227 Chr5A_195290051 Chr4D_51145714
Sim_43 Chr3B_363993995 0.0506222272660186 Chr4A_650216591 Chr7A_133516299 Chr2A_757174047 Chr3D_325479993 Chr7B_645891804
Sim_44 Chr3B_58119154 0.0468578470801794 Chr4D_237762397 Chr6A_313818358 Chr2B_575931941 Chr7A_355357642 Chr4B_672914857
Sim_45 Chr6A_47453658 0.0471776452930041 Chr4D_113784377 Chr5D_520645444 Chr1D_290426855 Chr7B_683019890 Chr3A_29071809
Sim_46 Chr1A_13808476 0.0505210749716115 Chr2A_695801605 Chr6A_31783339 Chr4A_148412332 Chr4D_478244065 Chr5A_177238799
Sim_47 Chr5B_580704576 0.0525676426539619 Chr4B_531201532 Chr7D_182096108 Chr6B_369526232 Chr7B_553745794 Chr1D_431727888
Sim_48 Chr4A_639977945 0.0480753205137775 Chr7B_699449335 Chr4D_41766564 Chr5B_549832065 Chr5D_51503462 Chr7A_737040611
Sim_49 Chr6D_183773154 0.0462116714515176 Chr1B_443203385 Chr6A_2888860 Chr5A_604284102 Chr7D_15124858 Chr5D_476327867
Sim_50 Chr3B_504092575 0.0542983442417777 Chr3D_82279664 Chr2B_416696328 Chr6D_470075110 Chr1A_544839138 Chr2A_469044342
Sim_51 Chr7B_454209921 0.0494984506280903 Chr2A_97364328 Chr5A_112147362 Chr6A_552109269 Chr7A_502743937 Chr4D_150996542
Sim_52 Chr1B_359828154 0.050673684057684 Chr7D_48371856 Chr3B_289241611 Chr4B_62677797 Chr4A_529625141 Chr5B_438255433
Sim_53 Chr5A_685674026 0.0468542442183544 Chr6A_463219398 Chr4A_341338335 Chr5B_245316610 Chr3A_451515257 Chr1D_200393007
Sim_54 Chr2B_159544013 0.0463515693513386 Chr5D_218441792 Chr4D_291600925 Chr2D_400826241 Chr2A_280318596 Chr1A_517581681
Sim_55 Chr2D_467171212 0.0519104649953472 Chr2B_510800155 Chr5B_10626035 Chr7B_736496642 Chr4B_62677797 Chr1D_418922900
Sim_56 Chr6A_43809476 0.0549096813136641 Chr2A_35042904 Chr7B_741173765 Chr6D_244841211 Chr4B_609604300 Chr5B_124321120
Sim_57 Chr3D_538755311 0.0546457003100501 Chr6A_48294319 Chr5A_111508814 Chr2B_83535132 Chr7B_278292455 Chr2A_275748595
Sim_58 Chr7B_713715516 0.0526918204066611 Chr2B_345153468 Chr7D_204684645 Chr4D_248484430 Chr2D_645502131 Chr3A_175158532
Sim_59 Chr3A_571784628 0.0502377908697492 Chr5D_11305082 Chr1B_295572741 Chr2B_159544013 Chr6A_48294319 Chr5B_11833284
Sim_60 Chr4A_529625141 0.0507661755451166 Chr5B_146143234 Chr2B_663848381 Chr1D_197477227 Chr4B_586503726 Chr6A_511887241
Sim_61 Chr2B_408986067 0.0524124605274286 Chr7B_742863758 Chr4B_423177595 Chr3B_237361414 Chr2A_378315846 Chr6D_29155456
Sim_62 Chr3B_28749117 0.0479314407995546 Chr6A_559598879 Chr5A_397591586 Chr1D_488470793 Chr4D_460297362 Chr2B_345153468
Sim_63 Chr3B_482672768 0.0511223344001202 Chr2B_111397047 Chr2D_558582523 Chr5D_448058656 Chr4D_405484964 Chr1D_459001923
Sim_64 Chr4B_456087812 0.0534736928861819 Chr3A_546215079 Chr3D_100530421 Chr6B_39205475 Chr1B_63140962 Chr4D_284000118
Sim_65 Chr7D_99855398 0.0467045815620494 Chr3D_257456482 Chr7B_741173765 Chr6D_210068304 Chr5A_461501731 Chr4D_122463310
Sim_66 Chr2B_408986067 0.0492684355285653 Chr3A_545249953 Chr2A_280129827 Chr1A_14650498 Chr6D_344076351 Chr7A_615511263
Sim_67 Chr7B_309163467 0.0489316907513492 Chr6A_42841422 Chr3D_596969240 Chr2D_327477715 Chr2A_65946342 Chr5A_576719780
Sim_68 Chr3B_773964714 0.0489385410221963 Chr7D_109416503 Chr2A_774998309 Chr6B_138070028 Chr1B_409239943 Chr3A_542961542
Sim_69 Chr1A_123746123 0.0462320496068897 Chr4B_419563006 Chr4A_442419347 Chr6D_403498589 Chr7D_278685512 Chr3D_53139934
Sim_70 Chr5A_548767173 0.0468152855422416 Chr4B_633374608 Chr3D_185941875 Chr2B_660182967 Chr5B_594465932 Chr7B_546629536
Sim_71 Chr7A_590031569 0.0480766835618196 Chr1D_370447342 Chr1B_82070652 Chr4D_440436245 Chr5D_485535117 Chr7D_293072340
Sim_72 Chr4A_357985678 0.0515516484982269 Chr6A_612294227 Chr5B_131694195 Chr3B_392774569 Chr4B_1330912 Chr6B_202987468
Sim_73 Chr2B_395973821 0.0529911357274784 Chr5A_556929692 Chr4B_138001702 Chr6A_58595886 Chr3D_98785934 Chr6B_150404897
Sim_74 Chr5B_586152972 0.0463092210583479 Chr1A_463314805 Chr4B_62677797 Chr1B_20367803 Chr3A_268638136 Chr2D_32878428
Sim_75 Chr2A_290115551 0.0461899557344062 Chr5B_679760394 Chr5A_478339433 Chr7D_633755447 Chr4D_478244065 Chr3D_545042911
Sim_76 Chr3A_650649269 0.0519059905386682 Chr4A_525104873 Chr3B_335865566 Chr3D_141715664 Chr5D_28586234 Chr6B_52411682
Sim_77 Chr4D_180493860 0.0465216090536271 Chr6A_496821784 Chr2A_261814161 Chr5D_192216163 Chr6B_87754789 Chr7A_603212924
Sim_78 Chr1B_569859190 0.0463784986625888 Chr7B_641124389 Chr7A_26986822 Chr2B_779856110 Chr1A_18867128 Chr3A_734751125
Sim_79 Chr2B_566279922 0.0494782202440312 Chr5A_43217611 Chr2A_728995105 Chr3A_443411057 Chr4D_418434454 Chr7A_689289097
Sim_80 Chr3B_386062207 0.0478762232279589 Chr7A_685167736 Chr6B_164487758 Chr4B_518787956 Chr5D_568529738 Chr2A_182961802
Sim_81 Chr7A_702814873 0.0456001085137272 Chr5D_357168778 Chr4A_543384657 Chr1D_269278977 Chr7B_3661000 Chr5A_696674406
Sim_82 Chr4D_380775490 0.0474195149788202 Chr1D_493390668 Chr3D_61581853 Chr7B_732669200 Chr5B_90700045 Chr4A_751885827
Sim_83 Chr6B_142788300 0.047314907978625 Chr3B_48069491 Chr2A_60710413 Chr2D_234556422 Chr3A_569643874 Chr7D_637277387
Sim_84 Chr1D_417749532 0.0517730185548378 Chr7B_644503380 Chr4B_482431558 Chr5A_37155792 Chr1B_138892802 Chr5B_34982502
Sim_85 Chr3D_21995871 0.0462634604198899 Chr7A_677893686 Chr4D_298638838 Chr7D_285818790 Chr7B_739853300 Chr5B_137534686
Sim_86 Chr2D_79978081 0.046418667322532 Chr7A_430729713 Chr4D_488170986 Chr2A_213326778 Chr1B_541832220 Chr4B_297312488
Sim_87 Chr6B_98397284 0.0518182689932128 Chr7A_395820634 Chr2B_432745410 Chr2D_511534375 Chr6D_473120178 Chr4B_573327470
Sim_88 Chr4D_407834863 0.0462019971957593 Chr7D_548205485 Chr4B_609678854 Chr3B_626306449 Chr1D_220969112 Chr1A_28020341
Sim_89 Chr3B_365515316 0.0502169155568394 Chr7D_214729433 Chr7B_722223970 Chr1D_489917551 Chr5B_14632818 Chr5D_11189454
Sim_90 Chr4D_135391365 0.0546719314566615 Chr3D_368576794 Chr2A_367574789 Chr6B_718879203 Chr6A_144037634 Chr1B_343259725
Sim_91 Chr2A_728995105 0.0475157873937893 Chr5B_21953532 Chr7B_684950273 Chr3A_687327053 Chr1A_153910667 Chr3D_116149598
Sim_92 Chr4A_161983612 0.0522445485685673 Chr2A_101453092 Chr1D_82673480 Chr7D_375314393 Chr7A_179847143 Chr6A_31783339
Sim_93 Chr3B_255059066 0.0471557507155535 Chr5D_99920377 Chr7A_86757413 Chr1D_427891700 Chr6A_133896354 Chr2D_17779590
Sim_94 Chr5B_99893605 0.0476403001050189 Chr6A_548644895 Chr5A_667734071 Chr3D_271756416 Chr4D_71274841 Chr6B_214328858
Sim_95 Chr2A_352765295 0.0494127467655343 Chr1D_418922900 Chr5A_536438435 Chr6A_203574710 Chr6B_164487758 Chr5B_666023481
Sim_96 Chr1A_588283041 0.0548514213363655 Chr7D_422602383 Chr3B_348546700 Chr6B_594503607 Chr6A_463219398 Chr2D_13699631
Sim_97 Chr1A_511121553 0.0495886312756945 Chr6B_697046412 Chr6D_344076351 Chr7A_14895638 Chr7B_733092493 Chr5D_319067284
Sim_98 Chr3B_640654049 0.0505642037375879 Chr7B_742572694 Chr2B_292126369 Chr1A_243942436 Chr5A_700812787 Chr4A_537644103
Sim_99 Chr1B_643296731 0.0541724830558666 Chr5B_584990238 Chr2A_204387962 Chr4B_594678704 Chr5A_368284281 Chr6D_2228517
Sim_100 Chr2B_795061405 0.047162513009634 Chr6A_115875252 Chr1D_313735884 Chr3D_452938313 Chr4A_613646776 Chr2D_24077146
