GenoWGS	Group	Female	Male	HeadingDate	PlantHeight	GrainYield
F037	line	F037	F037	151.932944296596	79.6985328257408	9.03266230396477
F039	line	F039	F039	151.012014853695	76.5066395476859	9.24672997202334
F040	line	F040	F040	148.566862321442	72.6605758558853	8.63524580887981
F041	line	F041	F041	152.327858168803	77.8561451158551	9.30270410595322
F042	line	F042	F042	154.012166979237	74.5715281302752	8.95989894121607
F043	line	F043	F043	149.785582073996	79.2844504339158	8.94263601656041
F044	line	F044	F044	149.131003917202	76.6270367437197	9.11480370982348
F045	line	F045	F045	152.22041463273	82.4085931305611	8.82663900389749
F046	line	F046	F046	151.90655669571	82.1528452508269	9.19397110418155
F047	line	F047	F047	152.39280223473	79.8215945493866	9.02044611208138
F048	line	F048	F048	149.696821101384	77.6095474430371	8.97512255922021
F049	line	F049	F049	151.498426124505	81.4545890940727	9.02226222312458
F050	line	F050	F050	153.243438565434	82.7563184301091	8.93384006848397
F051	line	F051	F051	149.411515061664	75.2856756270512	8.77821321778976
F052	line	F052	F052	151.677378234059	74.2420258744255	8.61574278024072
F053	line	F053	F053	150.205144624974	74.8724843629469	8.570703471366
F054	line	F054	F054	152.055669859161	74.5132924762098	8.19383166070101
F055	line	F055	F055	150.848571161437	77.7906475782659	8.03631916623256
F056	line	F056	F056	146.733858466777	72.630587890613	8.42911008786532
F057	line	F057	F057	148.118074107107	70.8135625593138	8.91201421505006
F058	line	F058	F058	148.415589316762	73.2315395109	9.10508341627403
F059	line	F059	F059	153.345167139607	77.6844093855564	8.98194435391882
F060	line	F060	F060	153.662073745816	86.0973469091015	9.37383346488072
F061	line	F061	F061	150.713902412619	81.8384091853037	9.39598748964182
F062	line	F062	F062	151.128209334789	83.0054808428086	9.00616456793437
F063	line	F063	F063	151.326932525071	80.3829879678274	8.63452744279394
F064	line	F064	F064	149.852928788843	81.6319086198205	9.30512724648329
F065	line	F065	F065	151.236637261936	81.5151575730743	9.62603852210399
F066	line	F066	F066	153.325920756659	79.5016948644854	8.92716573585802
F067	line	F067	F067	150.634610558732	78.907621910155	9.56546604326029
F068	line	F068	F068	152.341620798214	77.828037576694	8.23551806449094
F069	line	F069	F069	148.552249279887	71.9429241273067	8.50049378235986
F070	line	F070	F070	152.071624435314	71.9504863467522	9.15998809968231
F071	line	F071	F071	150.485785267077	73.2911492817142	9.16957345280471
F072	line	F072	F072	148.910537279881	85.670665024194	8.68429109142093
F073	line	F073	F073	151.827555683824	74.2023705510145	8.87210220918581
F074	line	F074	F074	148.736182002647	80.2130099355185	8.815958161627
F075	line	F075	F075	150.355341523774	86.8229027925425	9.05374828537295
F076	line	F076	F076	149.110663909766	76.5369802218777	8.9598461528363
F077	line	F077	F077	147.775109061205	73.3658306374559	8.53591910230415
F078	line	F078	F078	147.763748574053	62.0780750234903	7.30765574670597
F079	line	F079	F079	152.804920944012	74.3781288175876	8.55770783898741
F080	line	F080	F080	149.200284697408	77.2851012737169	8.8933552649172
F081	line	F081	F081	147.484844682016	76.4350179396884	8.24019254057693
F082	line	F082	F082	150.307901144805	87.1563937494331	8.86431705644713
F083	line	F083	F083	153.378640382002	84.3799796583025	9.25005121626976
F084	line	F084	F084	152.615387676305	85.4907404355537	9.21519606866937
F085	line	F085	F085	149.89925846477	80.9572456094826	9.22425312008282
F086	line	F086	F086	152.430986133353	79.5201669340972	9.4675476841564
F087	line	F087	F087	147.19951409827	78.7102444195931	8.68626918503979
F088	line	F088	F088	146.923436404611	76.9223347673264	9.16164329467018
F089	line	F089	F089	149.761125080788	74.0111128491286	8.83548513290709
F090	line	F090	F090	147.183067387017	73.0515176464619	8.85688458052606
F091	line	F091	F091	149.981434905079	83.0946052792152	9.36118829545194
F093	line	F093	F093	152.484978377778	75.6077146775575	8.96734795124951
F094	line	F094	F094	151.264404964714	77.0883204607198	8.64484762259323
F098	line	F098	F098	154.006281196763	86.5215298177814	9.37483826390411
F099	line	F099	F099	152.760075575868	74.1192209439774	9.35356063258897
F100	line	F100	F100	150.994963677345	89.0204795209957	9.38265864254722
F101	line	F101	F101	151.976177659281	75.824932221964	9.43017383686809
F103	line	F103	F103	152.108646557674	76.6494825303022	9.03778229955583
F105	line	F105	F105	153.333024366053	82.227675986158	9.25477907393221
F106	line	F106	F106	152.082870660089	84.9226554263701	9.19304028106411
F108	line	F108	F108	149.951594333456	78.9275921345568	8.28278065987477
F109	line	F109	F109	151.857144948646	85.7677396579614	8.80524670942861
F110	line	F110	F110	148.358629283724	83.6686094435928	8.35235033922829
F111	line	F111	F111	152.2258175712	86.3163194933017	9.07705291272222
F112	line	F112	F112	150.970538675709	80.393886063925	8.98864736242842
F113	line	F113	F113	148.825697203622	73.8573281812825	8.74987831208718
F114	line	F114	F114	150.674203644745	78.1244515439042	9.11853044724131
F115	line	F115	F115	151.054446933878	85.1589862618903	9.59898682728011
F116	line	F116	F116	151.421980086121	81.4945842586464	8.35726069229573
F117	line	F117	F117	149.85161705767	79.1253871776765	8.58769509391485
F118	line	F118	F118	151.877980705079	82.9699281038826	9.15023070063112
F119	line	F119	F119	151.856886604048	76.9186170537836	8.96895044527592
M001	line	M001	M001	152.779743793319	93.4758119345814	9.21764097239542
M002	line	M002	M002	149.860840413768	87.0328170990906	9.04765084356043
M003	line	M003	M003	153.179288049704	89.1144751116748	8.49624100901196
M004	line	M004	M004	152.991965166425	93.1081806808632	8.87862697626884
M005	line	M005	M005	152.021441255005	92.8247026214263	9.05992295094952
M007	line	M007	M007	153.895992805146	94.1845124764354	9.11962853951622
M008	line	M008	M008	153.232840504043	95.1473916057013	9.23155420065719
M009	line	M009	M009	151.88445923277	85.9374580807278	9.23233271940083
M010	line	M010	M010	153.747260084484	90.2052529610237	8.72647260357202
M011	line	M011	M011	153.420457333821	92.1376557652358	9.48675511894143
ZF001	line	ZF001	ZF001	151.355169245212	89.3532603407396	9.90437129231869
ZF002	line	ZF002	ZF002	150.776820724545	83.6724613364225	9.17305437427211
ZF003	line	ZF003	ZF003	150.304841368975	81.4169963228944	9.1914781527999
ZF004	line	ZF004	ZF004	152.682199665816	86.1855994066876	9.45312328786042
ZF005	line	ZF005	ZF005	149.364381587832	73.5543697075612	9.16942766724017
ZF006	line	ZF006	ZF006	152.861050906106	73.4611724490196	9.01334971266082
ZF007	line	ZF007	ZF007	152.73004319725	79.2849421474213	9.41254001555741
ZF009	line	ZF009	ZF009	146.006993751206	93.8415857283855	8.65855254060987
ZF010	line	ZF010	ZF010	147.156734230964	94.2337083030262	7.36016045513544
ZF011	line	ZF011	ZF011	150.090017871893	70.9545363565221	8.02685891642295
ZF012	line	ZF012	ZF012	149.312112966617	88.9132788004707	7.91505085449574
ZF016	line	ZF016	ZF016	152.811919402896	83.9317763260219	10.0936543087414
ZF017	line	ZF017	ZF017	152.333734142059	82.9516869309657	9.49312258236159
ZF018	line	ZF018	ZF018	154.413132657782	78.6714458368584	9.25221368533668
ZF019	line	ZF019	ZF019	153.447907224472	80.7538561130699	9.39926942501094
ZF020	line	ZF020	ZF020	153.005347173437	85.748012239907	9.11616868617555
ZF021	line	ZF021	ZF021	151.188344901341	85.8660616074025	9.37344049404042
ZF022	line	ZF022	ZF022	153.24727240826	78.5952535561255	9.230460848059
ZF023	line	ZF023	ZF023	152.622338078786	81.1023404628421	9.55451805837007
ZF025	line	ZF025	ZF025	153.537214846982	79.5708656861526	9.57156329125678
ZF026	line	ZF026	ZF026	151.338404987087	86.0680865896144	10.0076863420563
ZF027	line	ZF027	ZF027	153.597416487721	76.3165854912427	8.9860998441542
ZF028	line	ZF028	ZF028	152.838206781492	81.5496818633049	9.42426226659047
ZF029	line	ZF029	ZF029	152.116742753459	86.566301858038	9.59704484152884
ZF030	line	ZF030	ZF030	151.491474608143	74.2609593203692	9.6775570316303
ZF031	line	ZF031	ZF031	155.172795987237	83.0515680639845	9.40829730737889
ZF032	line	ZF032	ZF032	152.729343339979	74.9050246472128	9.48474362696867
ZF033	line	ZF033	ZF033	154.926913724559	80.9180741443467	9.82727958548316
ZF034	line	ZF034	ZF034	147.909426535658	82.9388394571801	9.34636303093868
ZF035	line	ZF035	ZF035	153.034957666855	81.0809583417217	9.58216531952896
ZF036	line	ZF036	ZF036	153.597915093323	82.5926987509362	9.14175244980291
ZF037	line	ZF037	ZF037	154.02416571619	81.5782023935127	9.50452819533532
ZF038	line	ZF038	ZF038	152.249647980873	84.7158453974457	9.83997873994154
ZF039	line	ZF039	ZF039	151.601813115624	82.8694828997907	9.51597403362181
ZF041	line	ZF041	ZF041	153.535872556225	87.6684166686484	9.6776467933251
ZF042	line	ZF042	ZF042	152.874231587582	89.7255806859363	9.58212975460419
ZF043	line	ZF043	ZF043	153.894239238982	85.3546881927812	9.78103824176581
ZF044	line	ZF044	ZF044	153.644568103471	87.8223138946215	9.37799388667132
ZF045	line	ZF045	ZF045	153.808390712852	75.173598367797	9.25135865009944
ZF046	line	ZF046	ZF046	155.958066501346	83.0968050958769	9.63810976626689
ZF048	line	ZF048	ZF048	149.976587111774	78.4281088681804	9.415444448347
ZF049	line	ZF049	ZF049	153.412085957361	83.4253760684925	9.2543978363774
ZF050	line	ZF050	ZF050	154.329530938021	83.047497014725	9.17876970385971
ZF051	line	ZF051	ZF051	153.411669354433	80.5486129364717	9.589887726157
ZF056	line	ZF056	ZF056	152.20617652454	78.4644131896624	8.9254226482298
ZF057	line	ZF057	ZF057	150.016361104813	78.1429647286681	9.318003436465
ZF058	line	ZF058	ZF058	153.220658610673	77.4338468405806	8.82403326683912
ZF059	line	ZF059	ZF059	150.596388373595	76.6449941898211	8.72162404675681
ZF060	line	ZF060	ZF060	150.133940828888	81.03205739923	9.12977796253304
ZF062	line	ZF062	ZF062	150.018174133334	80.9262535484755	9.48396567335759
ZF063	line	ZF063	ZF063	149.712719426598	88.3683644581484	9.49135239466922
ZF064	line	ZF064	ZF064	151.928197213173	83.0051491813798	9.38864897154187
ZF065	line	ZF065	ZF065	151.089215539228	84.0431994865375	8.70730982523154
ZF072	line	ZF072	ZF072	151.126896870924	81.7747810704667	9.96832741751365
ZF073	line	ZF073	ZF073	152.864298361944	79.7608487517312	9.49822623978384
ZF074	line	ZF074	ZF074	152.206183136722	87.6092921925914	9.97038841516286
ZF075	line	ZF075	ZF075	153.234213959821	84.3168897754423	9.26306300594764
ZF076	line	ZF076	ZF076	150.931378351698	83.9676235294481	9.21014711674728
ZF077	line	ZF077	ZF077	151.430982565144	82.6899657303527	9.75873202466903
ZF078	line	ZF078	ZF078	150.258243236411	83.4247115878958	8.9829231283197
ZF079	line	ZF079	ZF079	153.177782283664	76.1035482676621	9.35010968595585
ZF081	line	ZF081	ZF081	150.675986429247	73.9259524121676	9.42247641838226
ZF082	line	ZF082	ZF082	154.004023208291	72.4083913896406	8.97520100101297
ZF083	line	ZF083	ZF083	154.561733985246	72.7907344285645	9.28981322181453
ZF084	line	ZF084	ZF084	154.331684107222	69.8621874401992	9.31115803268284
ZF085	line	ZF085	ZF085	153.246988189414	70.7580299530819	9.54786954344299
ZF086	line	ZF086	ZF086	153.168305638635	72.3344562199782	9.2557823142096
ZF087	line	ZF087	ZF087	154.679883096272	75.1166724981434	9.58746003498979
ZF088	line	ZF088	ZF088	147.48833685078	77.5995644783078	8.63989661115695
ZF091	line	ZF091	ZF091	152.905650720504	78.2646506481567	9.46977590045299
ZF093	line	ZF093	ZF093	149.434637454736	76.8625637383745	9.29467899399616
ZF094	line	ZF094	ZF094	150.912112221417	77.2680115933292	9.77061752201623
ZF096	line	ZF096	ZF096	152.327807650985	80.8567986689249	9.18535652793265
ZF097	line	ZF097	ZF097	149.81620425858	80.5483434950368	9.35321220430646
ZF098	line	ZF098	ZF098	150.727555972246	80.0284068613126	9.66261359777202
ZF099	line	ZF099	ZF099	148.07798709437	83.2508671810328	9.60576519383829
ZF100	line	ZF100	ZF100	149.038095511648	78.93364038072	9.79692182620398
ZF101	line	ZF101	ZF101	151.863201341797	83.4197591444135	9.79583979032156
ZF104	line	ZF104	ZF104	149.653088523145	81.844150124139	9.20264978058684
ZF105	line	ZF105	ZF105	148.320840426482	82.3602466949481	8.94677947071738
ZF106	line	ZF106	ZF106	148.485043143439	79.0245523308159	9.26284249936854
ZF108	line	ZF108	ZF108	154.650373638177	80.6026129277721	9.19158750965316
ZF109	line	ZF109	ZF109	154.203588256232	78.940097151466	9.21856013568119
ZF110	line	ZF110	ZF110	153.962567225031	87.396292903658	9.53933206495626
ZF111	line	ZF111	ZF111	153.804047645801	85.3380483179056	8.9524078386074
ZF112	line	ZF112	ZF112	157.47621069768	85.9687131423095	9.73691853501282
ZF113	line	ZF113	ZF113	153.325247333284	85.4272434886069	9.06128232020469
ZF114	line	ZF114	ZF114	154.547671900471	77.4732779418434	8.91630784029975
ZF115	line	ZF115	ZF115	154.785506350862	87.7380780697478	8.91125094649385
ZF116	line	ZF116	ZF116	155.025412932226	83.4171660154489	9.1212344170189
ZF117	line	ZF117	ZF117	156.141110548858	70.6130002735148	8.33766876270199
ZF118	line	ZF118	ZF118	153.316382116831	79.639441419584	8.42170589645206
ZF123	line	ZF123	ZF123	147.11181489924	81.5526223664134	8.2595964000744
ZF124	line	ZF124	ZF124	146.425734836695	88.106435586036	7.76675732422479
ZF126	line	ZF126	ZF126	148.722769836313	92.6939261342061	7.85849908732022
ZF127	line	ZF127	ZF127	147.357522568208	75.8380590245513	8.15728564258249
ZF128	line	ZF128	ZF128	150.022394895145	85.2966359535707	8.1802352402102
ZF130	line	ZF130	ZF130	151.626136470477	78.8149256525202	8.98841696374828
ZF132	line	ZF132	ZF132	154.201488242479	76.9502516511798	9.31036699582848
ZF133	line	ZF133	ZF133	151.892702668948	83.6524694016758	9.55257020470325
ZF134	line	ZF134	ZF134	152.386209168262	83.3758058315274	9.10777908794653
ZF135	line	ZF135	ZF135	151.140782607509	82.472275087061	9.68769744475827
ZF136	line	ZF136	ZF136	154.051996463119	84.6952674775632	9.87928045574219
ZF137	line	ZF137	ZF137	153.170431334256	80.8032402468908	9.45583198241395
ZF138	line	ZF138	ZF138	148.684772214458	73.3874351828051	9.42845029261874
ZF139	line	ZF139	ZF139	149.233251961957	71.6187538432487	9.19065701629259
ZF140	line	ZF140	ZF140	148.19888693083	68.9990360019712	9.17677940127642
ZF141	line	ZF141	ZF141	148.222304180653	76.3046603524838	10.0595949074661
ZF142	line	ZF142	ZF142	151.49854200451	70.9014245901789	9.71710646683778
ZF143	line	ZF143	ZF143	152.651045743695	73.5813553869299	8.99495177123792
ZF145	line	ZF145	ZF145	151.831269685509	81.4379294769028	9.10106509998189
ZF146	line	ZF146	ZF146	154.023869033137	88.6828919972451	8.41951554356994
ZF147	line	ZF147	ZF147	151.817908175002	78.9075278286326	9.15400743784233
ZF148	line	ZF148	ZF148	152.478752396285	78.5347621967414	9.08683898837902
ZF149	line	ZF149	ZF149	152.878493813285	78.657011808652	8.96289547000724
ZF150	line	ZF150	ZF150	150.777579783389	88.510748228201	9.46259424673327
ZF151	line	ZF151	ZF151	148.66805887357	67.875919200328	9.41003669418427
ZF153	line	ZF153	ZF153	152.379102366314	75.404974948465	9.1953610236104
ZF155	line	ZF155	ZF155	151.654661260429	85.7421577675441	9.76177011114787
ZF156	line	ZF156	ZF156	154.95506890469	83.7085666168998	9.25344140833555
ZF157	line	ZF157	ZF157	151.998381274703	86.5174519258967	9.39291696887451
ZF158	line	ZF158	ZF158	152.26145020357	86.4967790851572	9.30167391783598
ZF159	line	ZF159	ZF159	154.341174610954	85.0924279862686	9.33667985959165
ZF160	line	ZF160	ZF160	155.51824968442	85.3454774394114	8.98726571349296
ZF161	line	ZF161	ZF161	153.276495055777	85.9389159639131	9.61596049286974
ZF162	line	ZF162	ZF162	154.323244065853	82.0169750678583	9.83216051186272
ZF163	line	ZF163	ZF163	151.543250337154	96.5166394529984	9.53941554028035
ZF164	line	ZF164	ZF164	152.957581635521	83.7823917336165	9.81843324257338
ZF165	line	ZF165	ZF165	152.206327136082	81.6134677691734	9.43964238144472
ZF168	line	ZF168	ZF168	152.064095840935	83.3574299919223	9.46348309760441
ZF169	line	ZF169	ZF169	149.529905335974	79.9713308011206	9.79146696956708
ZF170	line	ZF170	ZF170	152.228077281108	77.4455992704167	9.88307097390357
ZF171	line	ZF171	ZF171	152.149739251736	92.1405014296666	9.51709354088189
ZF173	line	ZF173	ZF173	151.915778956058	82.6301329039674	9.40038770223798
ZF175	line	ZF175	ZF175	152.830343537833	86.1421233529319	9.1175078597527
ZF176	line	ZF176	ZF176	151.544462155292	90.9568344855695	9.5302270368488
ZF177	line	ZF177	ZF177	149.03968348764	91.63218487647	9.62469089328662
ZF178	line	ZF178	ZF178	150.33998887181	83.6509708591701	9.06656925004092
ZF179	line	ZF179	ZF179	153.949689556639	84.6150506601233	9.14863263381661
ZF180	line	ZF180	ZF180	152.167656961664	79.3148607232202	9.45062325911914
ZF181	line	ZF181	ZF181	150.904321898233	88.2621872735588	9.45272181467545
ZF182	line	ZF182	ZF182	151.305229761816	85.4917532731835	9.09271118852935
ZF183	line	ZF183	ZF183	151.196833825197	71.8457199334636	9.41293068094524
ZF184	line	ZF184	ZF184	150.920536224256	75.5104531977376	9.39937316656578
ZF186	line	ZF186	ZF186	149.975535828682	83.6680523428091	9.27685716250438
ZF187	line	ZF187	ZF187	149.222240640965	76.7979079766357	8.79087581007797
ZF188	line	ZF188	ZF188	152.828780209944	81.4615921779081	9.06379572125488
ZF189	line	ZF189	ZF189	151.100995697508	80.3051312659415	9.0187657883477
ZF190	line	ZF190	ZF190	148.761626872338	74.5014977225787	8.52667415726696
ZF192	line	ZF192	ZF192	150.124588958424	76.0857046445806	7.74567545879045
ZF193	line	ZF193	ZF193	153.355663864688	73.7422476643125	7.37882445723461
ZF194	line	ZF194	ZF194	149.579634181623	77.608673582185	8.91089570311753
ZF195	line	ZF195	ZF195	149.566742853681	77.0449620181165	9.16253573952551
ZF196	line	ZF196	ZF196	150.998856399486	80.0082241916528	9.45978798403448
ZF197	line	ZF197	ZF197	148.217696919536	78.8593557533457	9.04430893655998
ZF198	line	ZF198	ZF198	151.457143397612	79.7385585003837	9.97519547380939
ZF301	line	ZF301	ZF301	148.875800934869	77.6353118493269	9.73526995157924
ZF302	line	ZF302	ZF302	151.279056294366	78.0854049460634	9.46329578765808
ZF304	line	ZF304	ZF304	151.73393178626	81.2221649966718	9.29793225199199
ZF305	line	ZF305	ZF305	150.565842910576	82.6944158545982	9.47245947602332
ZF306	line	ZF306	ZF306	152.085041655087	74.7282014058235	8.92849836456329
ZF307	line	ZF307	ZF307	149.006370401855	87.6856586126209	8.97453471228471
ZF308	line	ZF308	ZF308	151.115053067263	84.4098418975611	9.44450062422585
ZF309	line	ZF309	ZF309	150.875473366826	75.7206843285946	8.93554394207481
ZF310	line	ZF310	ZF310	148.009354999915	84.5800565049778	8.95615519580279
ZF311	line	ZF311	ZF311	151.307104297589	81.8042974872137	8.7715750742847
ZF312	line	ZF312	ZF312	152.713979836189	80.8606233280564	9.29711794409514
ZF314	line	ZF314	ZF314	151.320539032851	82.664237417467	9.39866103210105
ZF315	line	ZF315	ZF315	150.513847803795	85.6118994117488	9.23761477207269
ZF316	line	ZF316	ZF316	148.243090519926	84.0312786030798	9.13204306908323
ZF317	line	ZF317	ZF317	152.765328701673	84.3591979635855	9.80470788963179
ZF318	line	ZF318	ZF318	152.858895718353	73.8883215149459	9.61318081615913
ZF319	line	ZF319	ZF319	152.457197219396	84.9640503623222	9.65432179704302
ZF320	line	ZF320	ZF320	153.082598044181	79.0351837618783	9.59080983201275
ZF321	line	ZF321	ZF321	151.815431053435	83.6406422213896	9.02198848896395
ZF323	line	ZF323	ZF323	146.991309993282	71.1968062713607	9.18404970342522
ZF324	line	ZF324	ZF324	152.380484357437	83.270013196089	9.80785519582397
ZF325	line	ZF325	ZF325	153.939837003893	80.0818495211075	9.23935322084575
ZF326	line	ZF326	ZF326	153.112740610643	75.2321136255124	8.81702581326312
ZF327	line	ZF327	ZF327	150.445347440673	72.4799595634002	9.42804871446029
ZF328	line	ZF328	ZF328	150.575104334676	75.1894294371952	8.90072303780376
ZF329	line	ZF329	ZF329	152.06486700074	74.1712197711363	9.23356149547928
ZF330	line	ZF330	ZF330	152.604652854835	80.1332279218253	9.78516740998645
ZF331	line	ZF331	ZF331	153.073928918061	79.3964536984732	9.6642446913737
ZF332	line	ZF332	ZF332	153.151812852259	85.5747199493011	9.84737163082004
ZF333	line	ZF333	ZF333	152.130338723043	85.6256537894668	9.64600297983741
ZF334	line	ZF334	ZF334	152.295775500659	80.0180592609809	9.33868516620416
ZF335	line	ZF335	ZF335	149.927980948015	83.5896950131656	9.48007383112544
ZF336	line	ZF336	ZF336	152.498159526842	88.0431562377599	9.66902984700519
ZF337	line	ZF337	ZF337	152.423827205751	79.874979336472	9.14556149535966
ZF338	line	ZF338	ZF338	152.093489922703	89.1964640297126	9.75914409621389
ZF339	line	ZF339	ZF339	151.306067351361	78.316849604572	9.69921213314336
ZF341	line	ZF341	ZF341	153.717830273082	75.6601990700229	9.46072059443544
ZF342	line	ZF342	ZF342	154.119487754779	72.6938898878151	9.5334857211284
ZF343	line	ZF343	ZF343	152.465471067738	73.957716025156	9.90151464685356
ZF344	line	ZF344	ZF344	153.662272971913	76.3253476899319	9.7179284440577
ZF345	line	ZF345	ZF345	153.228615352822	76.7821609763476	9.84188966351095
ZF346	line	ZF346	ZF346	154.777508042317	73.5455564903987	9.3147224414546
ZF347	line	ZF347	ZF347	153.777407831129	74.3075497439612	9.13590584262611
ZF348	line	ZF348	ZF348	154.120964526855	76.5808421763059	9.75258585194648
ZF349	line	ZF349	ZF349	153.068721561291	84.9496857870099	9.92630297096667
ZF350	line	ZF350	ZF350	152.20666319783	74.8377576257712	9.48109607884875
ZF352	line	ZF352	ZF352	150.641071093332	82.0613265406192	9.23951964584579
ZF353	line	ZF353	ZF353	150.085784943115	78.5764556825202	9.99373582345443
ZF356	line	ZF356	ZF356	148.211305832798	81.389056967227	9.43853484556723
ZF357	line	ZF357	ZF357	147.925232995731	75.470272314479	9.69503261380975
ZF358	line	ZF358	ZF358	150.11869157056	77.8874046361678	9.61435114013319
ZF359	line	ZF359	ZF359	148.232860573007	76.7677540468127	9.05345892814174
ZF361	line	ZF361	ZF361	151.186000285791	80.5390770334921	9.83544450264066
ZF362	line	ZF362	ZF362	149.34831433795	79.2446591844813	9.82358416237926
ZF363	line	ZF363	ZF363	152.461588104853	81.2505667661136	9.92967088560546
ZF364	line	ZF364	ZF364	148.698892694669	84.997151158303	9.12963273869755
ZF365	line	ZF365	ZF365	151.351153351654	82.6656118832904	8.99587634569553
ZF366	line	ZF366	ZF366	152.620498183346	78.3544755426784	8.93134542083048
ZF367	line	ZF367	ZF367	152.668379267933	84.8652320131023	9.82601548491489
ZF368	line	ZF368	ZF368	152.621518689171	80.5696279135689	9.70606665780771
ZF369	line	ZF369	ZF369	154.062813262178	76.9008942416191	9.27255157333754
ZF370	line	ZF370	ZF370	150.857476045723	83.766440291527	9.39716643435253
ZF371	line	ZF371	ZF371	151.846286669628	79.5661644784721	9.25066904908038
ZF372	line	ZF372	ZF372	146.987745949456	89.7846857542842	9.08208601505356
